Artist,Country,Number of finishes in top 100
Josh Turner,USA,1
Colbie Caillat,USA,1
3OH!3,USA,1
Jack Johnson,USA,1
Easton Corbin,USA,2
Melanie Fiona,Canada,1
Shontelle,Barbados,1
Norah Jones,USA,2
Reba McEntire,USA,2
Hayley Williams,USA,1
Shinedown,USA,1
The Fray,USA,1
Jamie Foxx,USA,1
The All-American Rejects,USA,1
Soulja Boy Tell'em,USA,2
David Cook,USA,3
T-Pain,USA,2
Green Day,USA,2
Maxwell,USA,3
Jordin Sparks,USA,4
Fergie,USA,1
Keyshia Cole,USA,1
Sean Kingston,Jamaica,2
Finger Eleven,Canada,1
Plies,USA,3
Nelly Furtado,Canada,2
The-Dream,USA,2
Gwen Stefani,USA,1
Ciara,USA,1
Hinder,USA,1
Plain White T's,USA,1
Mims,USA,2
Lloyd,USA,1
Unk,USA,1
Shop Boyz,USA,1
My Chemical Romance,USA,1
Bow Wow,USA,1
Sean Paul,Jamaica,1
R. Kelly,USA,1
The Pussycat Dolls,USA,1
Daniel Powter,Canada,1
Gnarls Barkley,USA,1
Yung Joc,USA,1
Chamillionaire,USA,1
Cassie,USA,1
Dem Franchize Boyz,USA,1
KT Tunstall,Scotland,1
D4L,USA,1
Juelz Santana,USA,1
Olivia Rodrigo,USA,3
